61,56,56,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,
61,57,57,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,
61,57,57,62,63,62,63,62,63,62,63,61,59,58,57,57,57,57,58,58,57,62,63,61,58,58,57,57,57,57,61,62,63,62,
61,57,57,64,65,64,65,64,65,64,65,61,59,58,57,57,57,57,58,58,57,64,65,61,58,58,57,57,57,57,61,64,65,64,
61,58,58,62,63,62,63,62,63,62,63,61,58,58,61,62,63,61,58,58,61,62,63,61,58,58,62,63,57,57,61,62,63,62,
61,59,58,64,65,64,65,64,65,64,65,61,58,58,61,64,65,61,58,59,61,64,65,61,59,58,64,65,57,57,61,64,65,64,
61,58,58,62,63,62,63,62,63,62,63,61,58,58,61,62,63,61,58,58,61,62,63,61,58,58,62,63,57,57,61,62,63,62,
61,58,60,64,65,64,65,64,65,64,65,61,58,58,61,64,65,61,60,58,61,64,65,61,58,58,64,65,57,57,61,64,65,64,
61,58,59,62,63,62,63,62,63,62,63,61,60,58,61,62,63,61,58,58,61,62,63,61,58,58,62,63,57,57,61,62,63,62,
61,58,58,64,65,64,65,64,65,64,65,61,58,58,61,64,65,61,58,58,61,64,65,61,58,58,64,65,57,57,61,64,65,64,
61,60,58,62,63,62,63,62,63,62,63,61,58,58,61,62,63,61,58,58,61,62,63,61,58,60,62,63,57,57,61,62,63,62,
61,59,58,64,65,64,65,64,65,64,65,61,58,58,61,64,65,61,59,58,61,64,65,61,58,58,64,65,57,57,61,64,65,64,
61,58,60,62,63,62,63,62,63,62,63,61,59,58,61,62,63,61,58,58,61,62,63,61,58,59,62,63,57,57,61,62,63,62,
61,58,59,64,65,64,65,64,65,64,65,61,58,59,61,64,65,61,58,58,61,64,65,61,58,58,64,65,57,57,61,64,65,64,
63,58,58,62,63,62,63,62,63,62,63,61,58,58,61,62,63,61,58,58,61,62,63,61,58,58,62,63,57,57,61,62,63,62,
65,59,58,64,65,64,65,64,65,64,65,57,57,57,61,64,65,61,57,57,57,64,65,57,57,57,64,65,57,57,61,64,65,64,
63,57,57,57,57,57,57,57,57,57,57,57,57,57,61,62,63,61,57,57,57,57,57,57,57,57,62,63,57,57,61,62,63,62,
65,57,57,57,57,57,57,57,57,57,57,57,57,57,61,64,65,61,57,57,57,57,57,57,57,57,64,65,57,57,57,64,65,64,
63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,62,63,61,58,57,57,61,61,62,
65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,64,65,61,58,57,57,61,61,64,
63,62,63,58,58,57,57,57,57,58,58,62,63,62,63,61,61,61,61,61,61,62,63,59,59,62,63,58,58,57,57,61,61,62,
65,64,65,58,58,57,57,57,57,58,58,64,65,64,65,61,62,63,62,63,61,64,65,58,58,64,65,60,58,57,57,61,61,64,
63,62,63,59,58,62,63,62,63,59,58,62,63,62,63,61,64,65,64,65,61,62,63,58,60,62,63,58,58,57,57,61,61,62,
65,64,65,58,58,64,65,64,65,58,58,64,65,64,65,61,62,63,62,63,61,64,65,60,58,64,65,58,58,57,57,61,61,64,
63,62,63,58,58,62,63,62,63,58,58,62,63,62,63,61,64,65,64,65,61,62,63,58,58,62,63,58,59,57,57,61,61,62,
65,64,65,58,58,64,65,64,65,58,58,64,65,64,65,61,62,63,62,63,61,64,65,58,60,64,65,58,58,57,57,61,61,64,
63,62,63,58,58,62,63,62,63,58,58,62,63,62,63,61,64,65,64,65,61,62,63,60,58,62,63,58,58,57,57,61,61,62,
65,64,65,58,59,64,65,64,65,58,60,64,65,64,65,61,62,63,62,63,61,64,65,58,58,64,65,58,58,57,57,61,61,64,
63,62,63,58,58,57,57,57,57,58,58,57,61,61,61,61,64,65,64,65,61,62,63,58,60,62,63,58,58,57,57,61,61,62,
65,64,65,60,58,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,64,65,60,58,64,65,58,58,57,57,61,61,64,
63,62,63,62,63,62,63,62,63,57,57,57,57,57,57,57,57,57,57,57,57,62,63,58,58,62,63,59,58,57,57,61,61,62,
65,64,65,64,65,64,65,64,65,61,61,61,61,61,61,61,61,61,58,57,57,64,65,58,60,64,65,58,58,57,57,61,61,64,
63,62,63,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,58,57,57,62,63,60,58,62,63,58,58,57,57,62,63,62,
65,64,65,61,62,63,62,63,62,63,62,63,62,63,62,63,62,63,58,57,57,64,65,57,57,64,65,58,58,57,57,64,65,64,
61,58,58,61,64,65,64,65,64,65,64,65,64,65,64,65,64,65,58,57,57,57,57,57,57,57,57,57,57,57,57,62,63,62,
61,58,58,61,62,63,62,63,62,63,62,63,62,63,62,63,62,63,59,58,58,58,60,58,59,58,57,57,57,57,57,64,65,64,
61,59,60,61,64,65,64,65,64,65,64,65,64,65,64,65,64,65,61,61,61,61,61,62,63,61,57,57,61,62,63,62,63,62,
61,58,58,61,62,63,62,63,57,57,57,57,57,57,57,57,57,57,57,57,57,57,61,64,65,61,57,57,61,64,65,64,65,64,
