8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,92,91,91,91,91,91,91,91,91,91,91,91,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,92,93,93,93,93,93,93,93,93,93,93,93,92,8,
8,91,93,93,93,93,93,93,93,93,93,93,93,91,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
